#=======================================================================
# POINTS LIST
#=======================================================================
# (i-0.5)*dx 	# (j-0.5)*dy 	    h[i][j] 	    u[i][j] 	 v[i][j] 
#-----------------------------------------------------------------------
1	        1	        0	        0	        0
3	        1	        0	        0	        0
5	        1	        0	        0	        0
7	        1	        0	        0	        0
9	        1	        0	        0	        0
11	        1	        0	        0	        0
13	        1	        0	        0	        0
15	        1	        0	        0	        0
17	        1	        0	        0	        0
19	        1	        0	        0	        0
21	        1	        0	        0	        0
23	        1	        0	        0	        0
25	        1	        0	        0	        0
27	        1	        0	        0	        0
29	        1	        0	        0	        0
31	        1	        0	        0	        0
33	        1	        0	        0	        0
35	        1	        0	        0	        0
37	        1	        0	        0	        0
39	        1	        0	        0	        0
41	        1	        0	        0	        0
43	        1	        0	        0	        0
45	        1	        0	        0	        0
47	        1	        0	        0	        0
49	        1	        0	        0	        0
51	        1	        0	        0	        0
53	        1	        0	        0	        0
55	        1	        0	        0	        0
57	        1	        0	        0	        0
59	        1	        0	        0	        0
61	        1	        0	        0	        0
63	        1	        0	        0	        0
65	        1	        0	        0	        0
67	        1	        0	        0	        0
69	        1	        0	        0	        0
71	        1	        0	        0	        0
73	        1	        0	        0	        0
75	        1	        0	        0	        0
77	        1	        0	        0	        0
79	        1	        0	        0	        0
81	        1	        0	        0	        0
83	        1	        0	        0	        0
85	        1	        0	        0	        0
87	        1	        0	        0	        0
89	        1	        0	        0	        0
91	        1	        0	        0	        0
93	        1	        0	        0	        0
95	        1	        0	        0	        0
97	        1	        0	        0	        0
99	        1	        0	        0	        0
101	        1	        0	        0	        0
103	        1	        0	        0	        0
105	        1	        0	        0	        0
107	        1	        0	        0	        0
109	        1	        0	        0	        0
111	        1	        0	        0	        0
113	        1	        0	        0	        0
115	        1	        0	        0	        0
117	        1	        0	        0	        0
119	        1	        0	        0	        0
121	        1	        0	        0	        0
123	        1	        0	        0	        0
125	        1	        0	        0	        0
127	        1	        0	        0	        0
129	        1	        0	        0	        0
131	        1	        0	        0	        0
133	        1	        0	        0	        0
135	        1	        0	        0	        0
